Código Venda;Data;ID Loja;Produto;Quantidade;Valor Unitário;Valor Final
65014;01/12/2019;Shopping Morumbi;Sunga Listrado;5;R$ 114,00;R$ 570,00
65014;01/12/2019;Shopping Morumbi;Casaco Listrado;1;R$ 269,00;R$ 269,00
65016;01/12/2019;Iguatemi Campinas;Sapato Listrado;2;R$ 363,00;R$ 726,00
65016;01/12/2019;Iguatemi Campinas;Casaco;1;R$ 250,00;R$ 250,00
65017;01/12/2019;Shopping SP Market;Gorro Liso;3;R$ 92,00;R$ 276,00
65018;01/12/2019;Rio Mar Shopping Fortaleza;Cueca Estampa;1;R$ 66,00;R$ 66,00
65018;01/12/2019;Rio Mar Shopping Fortaleza;Sunga Xadrez;1;R$ 116,00;R$ 116,00
65018;01/12/2019;Rio Mar Shopping Fortaleza;Casaco Listrado;1;R$ 269,00;R$ 269,00
65019;01/12/2019;Shopping União de Osasco;Polo Xadrez;2;R$ 142,00;R$ 284,00
65019;01/12/2019;Shopping União de Osasco;Tênis Linho;1;R$ 294,00;R$ 294,00
65020;01/12/2019;Shopping Morumbi;Pulseira Listrado;4;R$ 79,00;R$ 316,00
65020;01/12/2019;Shopping Morumbi;Camiseta Xadrez;5;R$ 200,00;R$ 1.000,00
65020;01/12/2019;Shopping Morumbi;Camisa Listrado;2;R$ 108,00;R$ 216,00
65024;01/12/2019;Passei das Águas Shopping;Camiseta Estampa;2;R$ 196,00;R$ 392,00
65025;01/12/2019;Shopping Ibirapuera;Calça Xadrez;5;R$ 185,00;R$ 925,00
65025;01/12/2019;Shopping Ibirapuera;Short Listrado;1;R$ 102,00;R$ 102,00
65025;01/12/2019;Shopping Ibirapuera;Meia Listrado;1;R$ 37,00;R$ 37,00
65027;01/12/2019;Norte Shopping;Relógio Listrado;1;R$ 218,00;R$ 218,00
65028;01/12/2019;Iguatemi Campinas;Sapato;5;R$ 350,00;R$ 1.750,00
